Year,Estimate (MMTC),SE (%),SE (MMTC),Lower 95% CI,Upper 95% CI
2003,1522.6,0.461,7.0,1508.8,1536.3
2004,1516.6,0.461,7.0,1502.9,1530.3
2005,1523.0,0.461,7.0,1509.3,1536.8
2006,1528.2,0.499,7.6,1513.2,1543.1
2007,1524.4,0.504,7.7,1509.4,1539.5
2008,1530.3,0.503,7.7,1515.2,1545.4
2009,1531.8,0.454,7.0,1518.2,1545.5
2010,1535.4,0.457,7.0,1521.6,1549.2
2011,1542.2,0.463,7.1,1528.2,1556.2
2012,1547.5,0.457,7.1,1533.6,1561.4
2013,1553.9,0.456,7.1,1540.0,1567.8
2014,1549.8,0.457,7.1,1535.9,1563.6
2015,1560.9,0.46,7.2,1546.8,1574.9
2016,1562.5,0.461,7.2,1548.4,1576.7
2017,1571.4,0.438,6.9,1557.9,1584.9
2018,1568.6,0.431,6.8,1555.4,1581.9
2019,1572.0,0.435,6.8,1558.6,1585.4
2020,1579.3,0.441,7.0,1565.7,1593.0
2021,1582.7,0.46,7.3,1568.5,1597.0
2022,1585.5,0.455,7.2,1571.4,1599.7
2023,1588.3,0.459,7.3,1574.0,1602.6
